#{"t_start": 1669994895.0225692, "env_id": null}
r,l,t
19.0,517,15.159022
20.0,579,29.672019
14.0,374,39.184019
21.0,625,54.154021
12.0,461,65.37602
19.0,640,80.99602
24.0,633,96.496019
19.0,517,109.393021
19.0,517,122.149024
19.0,517,134.724019
18.0,641,200.918411
